FIPS,% Urban Population,Household Median Income,Median Age,2012 Vote Rate for Democrats,"% White, Non-Latino",% Professional Jobs,Total Population,% of Edits that Were Made by a Local Editor (English Wikipedia),% of Content that Was Contributed by a Local Editor (English Wikipedia),% of Users who are Local (English Wikipedia),% Human-generated (Manual) Content (English Wikipedia),% Human (Manual) Edits (English Wikipedia),Non-spatial Outlink Entropy (English Wikipedia),% of Articles that are C-class or Higher (English Wikipedia),% of Spatial Outlinks to Governmental Articles (English Wikipedia),Tag Entropy (OpenStreetMap),Page Count (English Wikipedia)
48369,40.0,44943,31.9,20.7,38.4,0.23,10269,0.057,0.044,0.065,0.77,0.663,7.3,0,0.2,4.61,11
48371,60.2,47019,36.6,38.4,27.9,0.216,15507,0.133,0.064,0.081,0.793,0.706,8.944,0,0.096,4.17,20
48373,22.4,37855,42.9,25.4,72.3,0.253,45413,0.375,0.428,0.117,0.803,0.716,7.961,0.042,0.211,5.6,24
48375,91.0,37951,33,26.9,49,0.251,121073,0.497,0.432,0.177,0.946,0.911,9.434,0.069,0.023,7.51,57
48377,59.5,29634,38.5,70.4,14.5,0.289,7818,0.27,0.077,0.173,0.915,0.818,8.924,0.136,0.105,2.52,27
48379,6.8,44478,45.8,18.5,87.5,0.272,10914,0.17,0,0.081,0.617,0.532,7.159,0,0.148,5.51,6
48381,85.6,58529,35.3,15.2,78.2,0.37,120725,0.2,0.086,0.191,0.861,0.806,8.798,0,0.138,6.03,24
48383,86.7,61250,33.5,18.7,36.2,0.247,3367,0.113,0.02,0.054,0.892,0.672,7.811,0,0.191,3.81,11
48385,0.0,33885,50.5,18.1,72.5,0.378,3309,0.036,0.009,0.05,0.682,0.618,7.707,0,0.211,1.92,6
48387,24.3,31712,45.1,29.2,73.9,0.255,12860,0.165,0.025,0.121,0.66,0.581,6.983,0,0.311,3.58,18
48389,85.5,40571,35.4,57.5,19.5,0.236,13783,0.111,0.034,0.071,0.769,0.629,7.559,0.063,0.217,4.97,15
48391,39.3,44548,43,37.3,45.2,0.238,7383,0.076,0.086,0.089,0.77,0.683,7.295,0.1,0.167,2.28,10
48393,0.0,67321,41.3,5.7,90.5,0.391,929,0.148,0.359,0.074,0.765,0.593,7.281,0,0.167,2.34,4
48395,26.1,40601,40.4,38.4,59.1,0.287,16622,0.255,0.093,0.257,0.851,0.722,8.141,0,0.153,5.29,27
48397,84.0,86119,35.9,22.8,74.1,0.449,78337,0.194,0.052,0.17,0.755,0.713,7.456,0,0.294,6.34,10
48399,59.2,37667,42.3,14.1,65.1,0.282,10501,0.106,0.027,0.105,0.803,0.676,8.376,0,0.063,4.24,15
48401,34.1,45752,38.6,24,66.1,0.264,53330,0.219,0.233,0.122,0.883,0.796,8.636,0.037,0.069,6.11,27
48403,0.0,32963,50.5,17.6,87.5,0.26,10834,0.084,0.057,0.087,0.664,0.517,7.499,0,0.159,2.78,11
48405,0.0,28390,47.1,32.3,69.7,0.223,8865,0.057,0.009,0.068,0.742,0.612,7.839,0,0.267,3.09,7
48407,0.0,46107,43,25.1,76.6,0.261,26384,0.162,0.151,0.081,0.778,0.672,7.825,0.111,0.273,5.74,9
48409,80.4,50657,36.1,39.1,42.2,0.283,64804,0.251,0.101,0.183,0.635,0.648,7.912,0.024,0.42,5.62,43
48411,50.6,37743,40.6,14.3,67.4,0.252,6131,0.114,0.057,0.103,0.827,0.713,7.954,0,0.14,3.24,10
48413,0.0,50648,33.7,21.8,54.1,0.3,3461,0.016,0.003,0.01,0.837,0.669,7.665,0.143,0.2,3.55,7
48415,68.3,47513,36.8,16.7,57.8,0.256,16921,0.252,0.059,0.155,0.853,0.752,7.728,0,0.105,4.62,11
48417,0.0,47277,42.9,9.6,87.7,0.357,3378,0.014,0,0.019,0.748,0.591,8.174,0,0.216,3,8
48419,20.6,37081,37.6,25,65,0.238,25448,0.185,0.197,0.127,0.734,0.713,7.846,0,0.26,3.93,13
48421,0.0,48185,36.8,11.7,58.1,0.313,3034,0.011,0,0.017,0.668,0.504,6.657,0,0.391,4.32,5
48423,68.4,47432,35.6,26.1,62.1,0.335,209714,0.448,0.408,0.265,0.887,0.873,8.932,0.017,0.107,5.47,60
48425,0.0,55269,40.3,17.4,77.7,0.408,8490,0.136,0.074,0.125,0.906,0.802,8.511,0.083,0.08,2.43,12
48427,76.3,24927,29,86.4,4,0.205,60968,0.189,0.217,0.11,0.603,0.561,6.881,0,0.464,6.26,36
48429,60.6,41728,40.1,13.9,75.7,0.276,9630,0.073,0.018,0.065,0.788,0.69,7.698,0,0.2,2.88,8
48431,0.0,50543,41.8,6.3,64.1,0.308,1143,0.076,0.008,0.068,0.879,0.606,7.371,0,0.089,3.34,5
48433,0.0,42429,46.3,23.7,80.9,0.379,1490,0.209,0.293,0.078,0.826,0.671,6.969,0,0.043,2.56,12
48435,81.2,53806,38.7,24.8,39.7,0.22,4128,0.14,0.091,0.074,0.836,0.702,7.365,0,0.192,3.83,4
48437,62.4,36753,37,25.6,51.2,0.281,7854,0.097,0.031,0.141,0.782,0.674,6.973,0,0.167,5.08,8
48439,98.7,56853,33.4,41.4,51.8,0.358,1809034,0.508,0.512,0.313,0.915,0.897,9.196,0.067,0.058,8.64,286
48441,84.0,44891,32.8,22.5,67,0.306,131506,0.426,0.421,0.201,0.879,0.864,9.376,0.055,0.07,6.44,54
48443,0.0,39479,44.5,33.3,50.3,0.227,984,0.099,0.067,0.085,0.891,0.794,7.713,0,0.098,2.31,8
48445,75.3,37679,35.1,28.6,45.4,0.362,12651,0.111,0.113,0.109,0.775,0.745,6.947,0.125,0.167,4.79,8
48447,0.0,39286,46.6,13.4,88.5,0.279,1641,0.06,0.021,0.046,0.736,0.507,7.309,0,0.231,3.08,6
48449,49.4,42939,32.5,30,49.2,0.223,32334,0.239,0.042,0.15,0.689,0.696,7.142,0,0.423,4.1,11
48451,84.4,44545,34.3,25.3,57.9,0.299,110224,0.362,0.291,0.173,0.935,0.842,8.866,0.016,0.069,5.68,61
48453,94.5,58025,31.9,60.2,50.5,0.451,1024266,0.582,0.643,0.343,0.939,0.899,8.66,0.059,0.058,6.93,373
48455,22.8,34555,47.3,25.9,81,0.246,14585,0.104,0.075,0.082,0.845,0.644,6.32,0,0.167,4.37,26
48457,21.9,39940,42.1,21.8,80.4,0.257,21766,0.101,0.012,0.106,0.792,0.639,7.256,0,0.176,3.79,15
48459,20.7,46600,40.5,19.6,82.1,0.253,39309,0.12,0.05,0.134,0.765,0.727,7.877,0,0.198,5.96,19
48461,0.0,51750,36.5,25.6,48,0.218,3355,0.105,0.012,0.082,0.801,0.582,7.62,0,0.159,4.7,7
48463,68.6,34902,35.3,45.4,29,0.275,26405,0.129,0.086,0.145,0.793,0.715,8.26,0,0.228,2.53,17
48465,89.8,40450,32.3,52.1,17.5,0.247,48879,0.23,0.19,0.125,0.886,0.793,8.543,0.024,0.158,1.69,45
48467,25.0,43439,42.1,16.2,85.8,0.276,52579,0.259,0.263,0.222,0.734,0.735,7.58,0,0.176,7.23,16
48469,73.4,50364,36.4,30.5,47.9,0.282,86793,0.318,0.185,0.144,0.896,0.828,8.154,0.033,0.094,4.87,61
48471,54.4,37617,34.5,35.1,58.5,0.309,67861,0.442,0.554,0.173,0.92,0.864,8.828,0.077,0.12,4.82,26
48473,38.4,50097,31.7,40.8,44.6,0.291,43205,0.272,0.276,0.13,0.742,0.631,8.76,0,0.17,4.72,17
48475,72.1,42568,37,25.8,46.2,0.2,10658,0.263,0.286,0.099,0.757,0.634,9.128,0,0.169,5.95,13
48477,46.5,44858,41.6,23.5,66.4,0.302,33718,0.376,0.34,0.13,0.927,0.835,7.774,0.027,0.086,4.64,33
48479,97.4,39449,27.8,76.6,3.3,0.254,250304,0.617,0.536,0.168,0.895,0.861,8.484,0.1,0.09,6.67,84
48481,50.1,40411,37.2,30.1,47.7,0.266,41280,0.253,0.621,0.137,0.893,0.726,7.277,0.025,0.128,7.38,39
48483,0.0,51766,40.2,10.9,71.1,0.312,5410,0.419,0.59,0.094,0.805,0.728,7.702,0.111,0.167,4.14,9
