RowNum,Total Population,% Urban,Gender Ratio,% Han Population,% Age 15-64,% Bachelors+,Inlinks per capita (Chinese Wikipedia),Outlinks per capita (Chinese Wikipedia),Non-Spatial Inlinks per capita (Chinese Wikipedia),Non-spatial Outlinks per capita (Chinese Wikipedia),Page Views per capita (Chinese Wikipedia),Page Length per capita (Chinese Wikipedia),Page Count per capita (Chinese Wikipedia),Page Views per Page (Chinese Wikipedia)
162,0.586213645,-0.662205157,0.260131529,1.37558224,-0.371136674,-0.707536252,0.184443512,0.309016153,0.114544262,0.18514586,-0.252218968,0.005584488,0.362365851,-1.06914136
163,0.333672359,-0.72811351,0.182626658,-0.992029953,-0.728847352,-0.229933454,0.74011519,0.340075049,0.867832313,0.294855887,-0.007778625,0.164439022,0.450217879,0.039451206
164,1.033979666,-0.852709605,0.567802384,0.24320833,-1.204285594,-0.937698961,0.431355542,0.180078232,0.507005185,0.076635003,-0.068290718,-0.051445261,0.315607971,-0.723827521
165,-0.023181048,0.157877561,-0.357558813,-0.87866706,0.111093543,1.250462746,0.765619243,0.589860135,0.873844785,0.790053914,0.847199978,0.963993012,0.750555183,0.944778537
166,-0.108843624,-0.742317037,-0.049887958,1.83629439,-0.848838908,-0.338530033,0.331456651,0.579007868,0.085890276,0.200674028,-0.064452595,0.155224662,0.361259154,-0.445942889
167,0.478749776,-0.438010623,-0.498476762,-0.912725818,-0.051913855,-0.311975002,0.165270941,-0.002155357,0.261962791,0.071242644,-0.082509954,-0.115870638,0.105416205,-0.066768899
168,0.688339946,-0.70379952,0.74394982,0.519869303,-0.964302481,-0.789363599,0.35064791,0.100566539,0.452361231,0.041253115,-0.238928505,-0.037265852,0.211220263,-0.689935202
169,0.74752426,-0.081820415,0.389306316,-1.014842184,0.1767493,-0.022084848,0.537426235,0.384055086,0.604920469,0.443587401,0.300257372,0.799709651,0.468488898,-0.166288695
170,-0.719503493,-0.809668206,-0.270659411,1.819768082,-0.674511553,-0.279718837,0.36547329,0.487038812,0.256845705,0.274191766,0.364689541,0.131919382,0.402772594,0.289637608
171,0.35491875,0.531044025,-0.268310779,-0.855345178,0.310324806,0.39019524,0.324085377,0.427199068,0.343830407,0.553559833,0.310513048,0.455233895,0.470185384,0.054453629
172,0.550388726,0.922272297,-0.362256078,-0.707598033,1.050650069,1.130525264,0.816083004,0.648389605,0.886180084,0.70540356,1.04922416,0.764477597,0.715545489,1.269581433
173,0.600297027,0.197748983,-1.560058643,-1.00906683,-0.287368984,0.179611266,0.329360409,0.391452113,0.340495239,0.475141855,0.334855917,0.331353661,0.577575703,0.087715688
174,0.500777459,0.254374136,-0.67697283,-1.032469148,-0.613383779,0.26745608,0.479985811,0.473299462,0.550389875,0.623451383,0.507625204,1.234963595,0.607026775,0.455480421
175,1.172665784,1.786767554,0.410444008,-0.577146683,1.63475991,2.776821287,1.766699113,2.035951183,1.827485586,2.479624427,2.896722916,2.428379669,1.552001768,1.955560143
176,1.067050995,0.491160541,-3.730195054,-0.948584723,-0.273785034,0.276808403,0.48211551,0.450612136,0.548115717,0.605316641,0.581275708,0.773166142,0.563124959,0.413355321
177,0.5808866,0.05146633,-0.881303856,-0.980905115,-0.74016731,-0.930903312,0.286122485,0.313969076,0.282647603,0.324004964,0.197427888,0.4383658,0.542891983,0.109943535
178,1.472477358,1.326306604,-0.341118385,-0.765304166,1.858895081,1.303981545,1.188332962,1.41121872,1.220328232,1.646509011,1.919675,1.480651193,0.817393976,1.465502253
179,0.556835627,0.481835112,-1.3111036,-0.992029953,-0.094929696,0.020587859,0.759547583,0.7281503,0.809606086,0.769445713,0.625409959,0.6997346,0.75095616,0.639514497
180,0.917683807,1.340259041,0.523178367,-0.726293429,1.390248814,1.157411985,1.168040751,1.269863836,1.16540224,1.473260516,1.61928289,1.657905604,0.97081449,1.543946815
181,1.250185501,0.337822912,-1.022221805,-1.038448041,-0.55904798,0.218723469,0.619058025,0.509332249,0.71223783,0.65604419,0.66792976,0.435473245,0.635513662,0.252691567
182,1.063751467,0.265805216,-1.043359497,-0.997661521,-0.090401712,-0.128830705,0.065545273,-0.17012917,0.208609927,-0.105372511,-0.103809436,-0.101106216,0.029808685,-0.203683878
183,0.517627095,0.546431355,-1.996904284,-0.897919413,0.375980563,0.65436918,0.743444656,0.753846221,0.829507027,1.010941379,0.928314691,0.65462198,0.579567057,0.948143273
184,0.115222953,0.852286819,-0.09920924,-0.810976441,1.193281542,1.05876933,0.829364864,0.721138455,0.935080563,1.079411671,1.160202161,1.003566001,0.732520542,1.464203843
185,0.370838761,-0.596495151,0.729858025,-1.003340215,-0.801295084,-0.616406833,-0.132560349,-0.084069582,-0.096313905,-0.185596783,-0.431081013,-0.11533677,0.167042296,-0.775063366
